Cod_ibge;Mun;Município_base;Regional;Lat;Long;Unidade_Nome;Unidade
3517505;GUAPIAÇU;Guapiaçu;Regional São José do Rio Preto;-49,186386;-20,719398;CASA DE AGRICULTURA DE Guapiaçu;CA
3517604;GUAPIARA;Guapiara;Regional Itapeva;-48,534845;-24,224728;CASA DE AGRICULTURA DE Guapiara;CA
3517703;GUARÁ;Guará;Regional Orlândia;-47,77759;-20,492147;CASA DE AGRICULTURA DE Guará;CA
3517802;GUARAÇAÍ;Guaraçaí;Regional Andradina;-51,300507;-21,089632;CASA DE AGRICULTURA DE Guaraçaí;CA
3517901;GUARACI;Guaraci;Regional Barretos;-48,977492;-20,366831;CASA DE AGRICULTURA DE Guaraci;CA
3518008;GUARANI D'OESTE;Guarani D´Oeste;Regional Fernandópolis;-50,348074;-20,065111;CASA DE AGRICULTURA DE Guarani d'Oeste;CA
3518107;GUARANTÃ;Guarantã;Regional Lins;-49,576841;-21,90997;CASA DE AGRICULTURA DE Guarantã;CA
3518206;GUARARAPES;Guararapes;Regional Araçatuba;-50,627916;-21,285151;CASA DE AGRICULTURA DE Guararapes;CA
3518305;GUARAREMA;Guararema;Regional Mogi das Cruzes;-46,058276;-23,441373;CASA DE AGRICULTURA DE Guararema;CA
3518404;GUARATINGUETÁ;Guaratinguetá;Regional Guaratinguetá;-45,228701;-22,833054;CASA DE AGRICULTURA DE Guaratinguetá;CA
3518503;GUAREÍ;Guareí;Regional Itapetininga;-48,214746;-23,368595;CASA DE AGRICULTURA DE Guareí;CA
3518859;GUATAPARÁ;Guatapará;Regional Ribeirão Preto;-47,999389;-21,449478;CASA DE AGRICULTURA DE Guatapará;CA
3518909;GUZOLÂNDIA;Guzolândia;Regional General Salgado;-50,707196;-20,628613;CASA DE AGRICULTURA DE Guzolândia;CA
3519006;HERCULÂNDIA;Herculândia;Regional Tupã;-50,39573;-21,942208;CASA DE AGRICULTURA DE Herculândia;CA
3519055;HOLAMBRA;Holambra;Regional Mogi Mirim;-47,07452;-22,628055;CASA DE AGRICULTURA DE Holambra;CA
3519105;IACANGA;Iacanga;Regional Bauru;-49,024501;-21,89293;CASA DE AGRICULTURA DE Iacanga;CA
3519204;IACRI;Iacri;Regional Tupã;-50,637956;-21,799531;CASA DE AGRICULTURA DE Iacri;CA
3519253;IARAS;Iaras;Regional Avaré;-49,092871;-22,803244;CASA DE AGRICULTURA DE Iaras;CA
3519303;IBATÉ;Ibaté;Regional Araraquara;-48,04669;-21,940389;CASA DE AGRICULTURA DE Ibaté;CA
3519402;IBIRÁ;Ibirá;Regional Catanduva;-49,209419;-21,064851;CASA DE AGRICULTURA DE Ibirá;CA
3519501;IBIRAREMA;Ibirarema;Regional Assis;-50,071104;-22,804864;CASA DE AGRICULTURA DE Ibirarema;CA
3519600;IBITINGA;Ibitinga;Regional Jaboticabal;-48,858206;-21,788907;CASA DE AGRICULTURA DE Ibitinga;CA
3519709;IBIÚNA;Ibiúna;Regional Sorocaba;-47,195017;-23,818347;CASA DE AGRICULTURA DE Ibiúna;CA
3519808;ICÉM;Icém;Regional São José do Rio Preto;-49,189612;-20,359865;CASA DE AGRICULTURA DE Icém;CA
3519907;IEPÊ;Iepê;Regional Presidente Prudente;-51,078672;-22,639257;CASA DE AGRICULTURA DE Iepê;CA
3520004;IGARAÇU DO TIETÊ;Igaraçu do Tietê;Regional Jaú;-48,575237;-22,541692;CASA DE AGRICULTURA DE Igaraçu do Tietê;CA
3520103;IGARAPAVA;Igarapava;Regional Orlândia;-47,694763;-20,068266;CASA DE AGRICULTURA DE Igarapava;CA
3520202;IGARATÁ;Igaratá;Regional Pindamonhangaba;-46,164374;-23,132148;CASA DE AGRICULTURA DE Igaratá;CA
3520301;IGUAPE;Iguape;Regional Registro;-47,463553;-24,609921;CASA DE AGRICULTURA DE Iguape;CA
3520442;ILHA SOLTEIRA;Ilha Solteira;Regional Andradina;-51,205583;-20,493339;CASA DE AGRICULTURA DE Ilha Solteira;CA
3520509;INDAIATUBA;Indaiatuba;Regional Campinas;-47,188611;-23,105057;CASA DE AGRICULTURA DE Indaiatuba;CA
3520608;INDIANA;Indiana;Regional Presidente Prudente;-51,264877;-22,149209;CASA DE AGRICULTURA DE Indiana;CA
3520707;INDIAPORÃ;Indiaporã;Regional Fernandópolis;-50,261832;-19,959143;CASA DE AGRICULTURA DE Indiaporã;CA
3520905;IPAUSSU;Ipaussu;Regional Ourinhos;-49,614036;-23,057035;CASA DE AGRICULTURA DE Ipaussu;CA
3521002;IPERÓ;Iperó;Regional Sorocaba;-47,634731;-23,395502;CASA DE AGRICULTURA DE Iperó;CA
3521101;IPEÚNA;Ipeúna;Regional Limeira;-47,724069;-22,433979;CASA DE AGRICULTURA DE Ipeúna;CA
3521150;IPIGUÁ;Ipiguá;Regional São José do Rio Preto;-49,410525;-20,625536;CASA DE AGRICULTURA DE Ipiguá;CA
3521200;IPORANGA;Iporanga;Regional Registro;-48,58008;-24,516413;CASA DE AGRICULTURA DE Iporanga;CA
3521309;IPUÃ;Ipuã;Regional Orlândia;-48,05953;-20,404225;CASA DE AGRICULTURA DE Ipuã;CA
3521408;IRACEMÁPOLIS;Iracemápolis;Regional Limeira;-47,533644;-22,613678;CASA DE AGRICULTURA DE Iracemápolis;CA
3521507;IRAPUÃ;Irapuã;Regional Catanduva;-49,39705;-21,261966;CASA DE AGRICULTURA DE Irapuã;CA
3521606;IRAPURU;Irapuru;Regional Dracena;-51,350208;-21,491563;CASA DE AGRICULTURA DE Irapuru;CA
3521705;ITABERÁ;Itaberá;Regional Itapeva;-49,142934;-23,907321;CASA DE AGRICULTURA DE Itaberá;CA
3521804;ITAÍ;Itaí;Regional Avaré;-49,020473;-23,481204;CASA DE AGRICULTURA DE Itaí;CA
3521903;ITAJOBI;Itajobi;Regional Catanduva;-49,063121;-21,360066;CASA DE AGRICULTURA DE Itajobi;CA
3522000;ITAJU;Itaju;Regional Jaú;-48,79597;-21,949623;CASA DE AGRICULTURA DE Itaju;CA
3522158;ITAÓCA;Itaóca;Regional Itapeva;-48,828949;-24,637347;CASA DE AGRICULTURA DE Itaoca;CA
3522208;ITAPECERICA DA SERRA;Itapecerica da Serra;Regional São Paulo;-46,86021;-23,749225;CASA DE AGRICULTURA DE Itapecerica da Serra;CA
3522307;ITAPETININGA;Itapetininga;Regional Itapetininga;-48,107426;-23,636901;CASA DE AGRICULTURA DE Itapetininga;CA
3522406;ITAPEVA;Itapeva;Regional Itapeva;-48,86684;-23,9039;CASA DE AGRICULTURA DE Itapeva;CA
3522604;ITAPIRA;Itapira;Regional Mogi Mirim;-46,757939;-22,432387;CASA DE AGRICULTURA DE Itapira;CA
3522653;ITAPIRAPUÃ PAULISTA;Itapirapuã Paulista;Regional Itapeva;-49,217315;-24,578469;CASA DE AGRICULTURA DE Itapirapuã Paulista;CA
3522703;ITÁPOLIS;Itápolis;Regional Jaboticabal;-48,784395;-21,536499;CASA DE AGRICULTURA DE Itápolis;CA
3522802;ITAPORANGA;Itaporanga;Regional Avaré;-49,442357;-23,659891;CASA DE AGRICULTURA DE Itaporanga;CA
3522901;ITAPUÍ;Itapuí;Regional Jaú;-48,70384;-22,248682;CASA DE AGRICULTURA DE Itapuí;CA
3523008;ITAPURA;Itapura;Regional Andradina;-51,474361;-20,588992;CASA DE AGRICULTURA DE Itapura;CA
3523206;ITARARÉ;Itararé;Regional Itapeva;-49,318776;-24,118538;CASA DE AGRICULTURA DE Itararé;CA
3523305;ITARIRI;Itariri;Regional Registro;-47,137047;-24,29815;CASA DE AGRICULTURA DE Itariri;CA
3523404;ITATIBA;Itatiba;Regional Campinas;-46,807495;-23,016092;CASA DE AGRICULTURA DE Itatiba;CA
3523503;ITATINGA;Itatinga;Regional Botucatu;-48,599105;-23,135674;CASA DE AGRICULTURA DE Itatinga;CA
3523602;ITIRAPINA;Itirapina;Regional Limeira;-47,837691;-22,2867;CASA DE AGRICULTURA DE Itirapina;CA
3523701;ITIRAPUÃ;Itirapuã;Regional Franca;-47,179323;-20,647543;CASA DE AGRICULTURA DE Itirapuã;CA
3523800;ITOBI;Itobi;Regional São João da Boa Vista;-46,926417;-21,756847;CASA DE AGRICULTURA DE Itobi;CA
3523909;ITU;Itu;Regional Sorocaba;-47,273179;-23,288788;CASA DE AGRICULTURA DE Itu;CA
3524006;ITUPEVA;Itupeva;Regional Campinas;-47,07146;-23,142849;CASA DE AGRICULTURA DE Itupeva;CA
3524105;ITUVERAVA;Ituverava;Regional Orlândia;-47,82886;-20,317601;CASA DE AGRICULTURA DE Ituverava;CA
3524204;JABORANDI;Jaborandi;Regional Barretos;-48,418757;-20,654705;CASA DE AGRICULTURA DE Jaborandi;CA
3524303;JABOTICABAL;Jaboticabal;Regional Jaboticabal;-48,289016;-21,212269;CASA DE AGRICULTURA DE Jaboticabal;CA
3524402;JACAREÍ;Jacareí;Regional Pindamonhangaba;-45,96506;-23,30745;CASA DE AGRICULTURA DE Jacareí;CA
3524501;JACI;Jaci;Regional São José do Rio Preto;-49,584225;-20,938044;CASA DE AGRICULTURA DE Jaci;CA
3524600;JACUPIRANGA;Jacupiranga;Regional Registro;-48,065481;-24,802321;CASA DE AGRICULTURA DE Jacupiranga;CA
3524709;JAGUARIÚNA;Jaguariúna;Regional Mogi Mirim;-47,021334;-22,689771;CASA DE AGRICULTURA DE Jaguariúna;CA
3524808;JALES;Jales;Regional Jales;-50,553669;-20,269877;CASA DE AGRICULTURA DE Jales;CA
3524907;JAMBEIRO;Jambeiro;Regional Pindamonhangaba;-45,712635;-23,293232;CASA DE AGRICULTURA DE Jambeiro;CA
3525102;JARDINÓPOLIS;Jardinópolis;Regional Ribeirão Preto;-47,839372;-20,998696;CASA DE AGRICULTURA DE Jardinópolis;CA
3525201;JARINU;Jarinu;Regional Campinas;-46,730818;-23,099546;CASA DE AGRICULTURA DE Jarinu;CA
3525300;JAÚ;Jaú;Regional Jaú;-48,537574;-22,298576;CASA DE AGRICULTURA DE Jaú;CA
3525409;JERIQUARA;Jeriquara;Regional Franca;-47,568275;-20,341034;CASA DE AGRICULTURA DE Jeriquara;CA
3525508;JOANÓPOLIS;Joanópolis;Regional Bragança Paulista;-46,348515;-22,907133;CASA DE AGRICULTURA DE Joanópolis;CA
3525607;JOÃO RAMALHO;João Ramalho;Regional Presidente Prudente;-50,822236;-22,240589;CASA DE AGRICULTURA DE João Ramalho;CA
3525706;JOSÉ BONIFÁCIO;José Bonifácio;Regional São José do Rio Preto;-49,773977;-21,100535;CASA DE AGRICULTURA DE José Bonifácio;CA
3525805;JÚLIO MESQUITA;Júlio Mesquita;Regional Lins;-49,812343;-21,970126;CASA DE AGRICULTURA DE Júlio Mesquita;CA
3525854;JUMIRIM;Jumirim;Regional Piracicaba;-47,793397;-23,083134;CASA DE AGRICULTURA DE Jumirim;CA
3525904;JUNDIAÍ;Jundiaí;Regional Campinas;-46,914069;-23,205025;CASA DE AGRICULTURA DE Jundiaí;CA
3526001;JUNQUEIRÓPOLIS;Junqueirópolis;Regional Dracena;-51,427157;-21,488169;CASA DE AGRICULTURA DE Junqueirópolis;CA
3526100;JUQUIÁ;Juquiá;Regional Registro;-47,633289;-24,222617;CASA DE AGRICULTURA DE Juquiá;CA
3526209;JUQUITIBA;Juquitiba;Regional Registro;-47,009274;-23,967828;CASA DE AGRICULTURA DE Juquitiba;CA
3526308;LAGOINHA;Lagoinha;Regional Guaratinguetá;-45,237755;-23,113051;CASA DE AGRICULTURA DE Lagoinha;CA
3526407;LARANJAL PAULISTA;Laranjal Paulista;Regional Botucatu;-47,846072;-23,002663;CASA DE AGRICULTURA DE Laranjal Paulista;CA
3526506;LAVÍNIA;Lavínia;Regional Andradina;-51,036394;-21,161224;CASA DE AGRICULTURA DE Lavínia;CA
3526704;LEME;Leme;Regional Limeira;-47,343467;-22,174292;CASA DE AGRICULTURA DE Leme;CA
3526803;LENÇÓIS PAULISTA;Lençóis Paulista;Regional Jaú;-48,806589;-22,658135;CASA DE AGRICULTURA DE Lençóis Paulista;CA
3526902;LIMEIRA;Limeira;Regional Limeira;-47,371251;-22,587137;CASA DE AGRICULTURA DE Limeira;CA
3527009;LINDÓIA;Lindóia;Regional Bragança Paulista;-46,663874;-22,504482;CASA DE AGRICULTURA DE Lindóia;CA
3527108;LINS;Lins;Regional Lins;-49,696825;-21,644423;CASA DE AGRICULTURA DE Lins;CA
3527207;LORENA;Lorena;Regional Guaratinguetá;-45,054148;-22,789918;CASA DE AGRICULTURA DE Lorena;CA
3527256;LOURDES;Lourdes;Regional General Salgado;-50,235165;-20,943902;CASA DE AGRICULTURA DE Lourdes;CA
3527306;LOUVEIRA;Louveira;Regional Campinas;-46,933397;-23,084925;CASA DE AGRICULTURA DE Louveira;CA
3527405;LUCÉLIA;Lucélia;Regional Tupã;-51,024622;-21,672208;CASA DE AGRICULTURA DE Lucélia;CA
3527504;LUCIANÓPOLIS;Lucianópolis;Regional Bauru;-49,552673;-22,473211;CASA DE AGRICULTURA DE Lucianópolis;CA
3527603;LUÍS ANTÔNIO;Luiz Antônio;Regional Ribeirão Preto;-47,782949;-21,545095;CASA DE AGRICULTURA DE Luís Antônio;CA
3527702;LUIZIÂNIA;Luiziânia;Regional Araçatuba;-50,357419;-21,670924;CASA DE AGRICULTURA DE Luiziânia;CA
